domain,label
ccddball,1
mfruljtxzaa,1
gakuseinoloan,0
wsuoaswocmkeeiacseiquwmosq,1
52q8wt50gvkluxalibs,1
cmrliologistbikerepil.com,1
cihuiologistbikerepil.com,1
410lm01b8tnb317drwp334maca.biz,1
ewqagkcmocyyyqsw.xyz,1
jrfqbdffou,1
nigel-lewis.com,0
tekom-lease,0
drunkenblog,0
securityoverride.org,0
mission-llc,0
ltrkpajsxlpv,1
kidsorlandodentistry,0
solfed,0
ij3jkdwta0utyxuxstg,1
bofymacipufigerihymo,1
ssggancorml,1
fatimanews.com.br,0
skcckggcseesmqicykses,1
geometricgroup,0
donsfootwear.com,0
gooshiland1.shop,0
etfwtg,1
jylscfazptcouklblfydafivcyts,1
yfktermryjo8khgr5bm6iji,1
kirkbirtlesblog,0
ttcftruck,1
galafesakodihewurir,1
onbusinessbook.com,0
lightupmysoul,0
stickshield.ru,0
methodevegas.eu,0
1op2mk1193dj0d12thnjr1y59m2,1
oneroomschoolhouses,0
btajreaa,1
bento123.one,0
manntravel,0
ikkubxjihdh,1
3191b.com,0
279942.com,0
sweepstakesalerts.com,0
hgbwdkhkzae,1
d41f84730b81753859066c944732ca749b,1
document-downloads.ddns.net,1
decowall.ir,0
patienttreataddressarrive.com,1
advancedancers,0
referatu.com.ua,0
muldata,0
4m21lwi2ns8wzv0xly18fewd8,1
bvrugkfsatxfeu.biz,1
sf77pokerdom.com,0
wcoj.ws,1
safelwb,1
mwrdiologistbikerepil,1
journalsmolensk,0
ykcrcrykze.com,1
p12ntisl68cyf22cwmwctkqgwhsjwovo61ls.net,1
dos486.com,0
j4c.ws,1
cityofasbury,0
mv0e91hvv1vl1lzvd9npbhygb.org,1
14l86y56hbk2he2rvddlglv9e,1
rtvmajdanpek,0
intouchtherapeutics,0
siyiehutegkctrfcmpagjeepr,1
bassin-jass,0
pegasis,0
yqoulhgdwcbykote,1
coannexed,0
wzzpx.com,0
tetecafecostura.com,0
kwdinc,0
ngtwwnuyfvatbmpsjqbvc,1
swxhljidkhcndpshtv.co,1
219046,0
rasmusemanuelsvensson,0
lwajdctteudk,1
vasconengg,0
dgwbtyjj.com,1
toalmusckrs,1
rwbbstsxrarjbnbje,1
ceyaumaqmaikcuseoseiauc,1
tgvmvirrvujg.com,1
xpyhancorml.com,1
365443,0
taroblog,0
ubt.co.th,1
mullerbouw.nl,0
leegordonseebach,0
wdtykvneica,1
harmconnectblindassociate.com,1
ntnselqkxtipb,1
wgrmjrmeq,1
wallangues,0
eeripenfidfaecfpuiqxmxpb,1
xqvbfeipqoejr,1
vmwtssdpzlb,1
oicfoqwsf.net,1
24427cabe319,1
mqktmnvwpwwy,1
phyliciamarie.com,0
bauakademie,0
asterelliott,0
jvm.in,1
1cupbtjpa0t2l1xyjsra1f5esjo.org,1
bxlesuxw62ms62o3k3.biz,1
flfwleasuredehydratorysagp,1
aakemigssagggkeyswcysegy,1
3hqfulwp7x3r58q4sde81hi,1
antykfjrfvjsuscedo,1
hfkfmgncrngtovyvpvzujsqij,1
vqqqqtghdswx.club,1
36190,0
baptistpietistclarion,0
gohaqusumavihykyz,1
zp1twffuyki,1
edcoyouthalternative,0
kuekswyuuisscmaycyemiygq,1
uqnabcxeyok,1
hhghevsfpaoldl,1
channeliq.com,0
ljzudhockey,1
cortexi.com,0
houseplantauthority.com,0
blancdecor.com,0
mcbmadagascar.com,0
hbuginalcentricem,1
achimedialab,0
aquipelis.net,0
f9d7fe3ad406e5135de4a840b4c3bbb3d7.ws,1
pine64,0
gevkficjam,1
qgvmqixcd,1
kq3sk3hdttrk1af885s10opekl.net,1
pammarketingnut.com,0
servers121.com,0
adamprather.com,0
jtimedia,0
sabztoos.ir,0
james-henry,0
eocmancorml.com,1
ezhourcw.cn,0
starsciw.shop,1
ocptdaastfmnke,1
guitar-school-online,0
vyoxkwitwnqcbgxjv,1
iukfgtz,1
compudude,0
cargobay.net,0
ppblpay,1
u892cbbb7e79c297e09d5aaca612f0d673,1
ivanabaquero,0
hbbb7d5d0dacadd3aa4610b482bf68260c.ws,1
coachingsalespeoplecourses,0
1wpcjv.top,0
crmporium,0
hbxxopcomp,1
qgyiogqgsw,1
taupukas.lt,0
actricity.com,0
a67bqiuarexeqi15oqf12g63mvm69mul18pzj46.org,1
456502,0
jonathanhouston,0
289537,0
madagascarian,0
u-jazdowski.pl,0
sportivaunihockeymendrisiotto,0
zwbxjhztnlz,1
lpusrasildeafeninguvuc.com,1
earth-liberation-front,0
bvibpqrmvh,1
qegutiviqurigol,1
ocokcckieeks,1
rfktordf150,1
pirateparty.be,0
itokensou,0
hotelsinhoian.net,0
thenewactingcompany,0
agebonuh.bazar,1
adaptitech.com,0
unnrurdhnj,1
gj7xqvab5jurcjmxm8q,1
stillhuman,0
bvfievksdkfm.me,1
iuzpanerraticallyqozaw.com,1
c59dsawk17nxb68f62j36b18aviyhsfto51o21gw.info,1
potatoesejection.com,0
gfxyhdjxhmbvsjqpgiur.com,1
adkulan.kz,0
qmidcbunnfym.biz,1
hxvpulidfdllfrrgb,1
ofu6u2wtu8y0c2wti03hinq,1
kvir5v76ofyrslu,1
professionalwriter,0
tonimartindiscos,0
aviator-casino-kenya.com,0
coolstufffree,0
starbuckscardrewards.net,0
viu.mx,0
329795,0
xygwwbfwjgbffgeuwqrwuqmdv,1
emergencyvetinlandempire,0
rzbgsemitismgavenuteq,1
coastalempirefair,0
xrdwsatformalisticirekb.com,1
shibuyadeohara,0
corncock.com,0
airsoftnmore,0
theultimatepoolplayer,0
rvlerulegacy,1
peppa.com.au,0
alfabafnmdhxpctsmihg.com,1
kent-casino-wey.top,0
tqbsnowawf,1
times-square,0
ibrablog,0
networkhelp,0
ayso87,0
cfkadopt,0
morelawtv.com,0
novaletofyru,1
wsokmwggucagugcge,1
blackanddecker.fr,0
up2cloud,0
nashdirect,0
dypmxyklpp,1
micartilla,0
enu4ivsxmx1rofoxg2e,1
asksensors,0
oopwkccriiir,1
duke4,0
health-help,0
saveamother,0
lithhof.org,0
angelwealth.com,0
benzinpreis-blitz.de,0
xn----7sbabrfdzpvfiiv1e7ctc.xn--80adxhks,0
qcjxmachuslazaroqok,1
netweaver.co.uk,0
otv24.com,0
thebeelinestore,0
ocewmcogkosemqsagmimumkq,1
tjach,0
peoquuptjftdouuxwffhzty,1
idlebrain.com,0
xlvpsfjugnzyhamipx,1
vdlpdackcwscdjcda,1
nagix.com,0
konkurs-livemusik.dk,0
251543,0
uibdjmqyjmd,1
fresh-kasinos-top.ru,0
xmaqedfceus.cn,1
brfmordf150,1
consequencepressureinstall.com,1
parlonscom,0
ddkadhockey,1
jcajzlfufaz,1
dekkodigital,0
rynakolecogy,1
tzllllaabettingk.com,1
72hoururbanaction,0
nuuskwt,1
374570,0
eiqcaeqicsckssyy.org,1
nomadicknights,0
lifegetfunked,0
tvmlive.com,0
lkcc.cn,1
bdy.me,1
ninja288.fun,0
bixx,0
hqpormnotutt,1
nsetoguhnwualckewhe,1
moonsite.co.il,0
ccpkpartbulkyf,1
ocwekuooaesyqyaq.org,1
1035superx,0
^abhgmzadhgp.bazaar,1
dbqjkyjcsmry.com,1
jocnpxqq,1
1n4xsr2pdutpb1lz6fd8f896rx.net,1
cleantsk,0
ptejellefrictionlessv.com,1
cf57rgdbleofx2nkqy.biz,1
mykawmweaouumaeu.org,1
kpekzcpqbiv,1
lasaxophones,0
movingauthority,0
halogab,1
borborygmatic,0
uknetguide,0
ocxtgposfevdkpxll,1
dunet.co.kr,0
kryx1fk0gf38mrkrixg,1
courtyardgrillnsb,0
mumumio,0
show-sexy,0
fizbgsb,1
osbceirohrlpqim,1
